bion_id,Properties,property_type,property_of,Organism,value,min_value,max_value,Units,standardized_value,standardized_min,standardized_max,category,original_value,original_range
117326,Cell volume,Volume,cell,Algae Euglena gracilis,1580.0,,,Î¼m^3,1.58e-15,,,Cells,1580,
117327,Cell volume,Volume,cell,Algae Ochromonas sp.,,70.0,250.0,Î¼m^3,,7e-17,2.5e-16,Cells,,'70 - 250
117325,Cell volume,Volume,cell,Amoeba Proteus,936000.0,,,Î¼m^3,9.36e-13,,,Cells,936000,
114922,Cell volume,Volume,cell,Bacteria Bacillus subtilis,0.9,,,µm^3,9e-19,,,Cells,0.9,
114921,Cell volume,Volume,cell,Bacteria Bacillus subtilis,1.41,,,µm^3,1.41e-18,,,Cells,1.41,
114925,Cell volume,Volume,cell,Bacteria Escherichia coli,0.47,,,µm^3,4.7e-19,,,Cells,0.47,
114924,Cell volume,Volume,cell,Bacteria Escherichia coli,1.46,,,µm^3,1.4600000000000001e-18,,,Cells,1.46,
100003,Cell volume,Volume,cell,Bacteria Escherichia coli,,0.1,3.5,Î¼m^3,,1.0000000000000001e-19,3.5e-18,Cells,,'0.1-3.5
114928,Cell volume,Volume,cell,Bacteria Legionella pneumophila,0.58,,,µm^3,5.8e-19,,,Cells,0.58,
108339,Cell volume,Volume,cell,Bacteria Leptospira interrogans,0.22,,,Î¼m^3,2.2000000000000003e-19,,,Cells,0.22,
114934,Cell volume,Volume,cell,Bacteria Rickettsia prowazekii,0.09,,,µm^3,9e-20,,,Cells,0.09,
114936,Cell volume,Volume,cell,Bacteria Sphingopyxis alaskensis,0.07,,,µm^3,7.000000000000001e-20,,,Cells,0.07,
108951,Cell volume,Volume,cell,Bacteria Spiroplasma melliferum,0.02,,,Î¼m^3,2.0000000000000002e-20,,,Cells,0.02,
112006,Cell volume,Volume,cell,Bacteria Vibrio fischeri,0.35,,,µm^3,3.5e-19,,,Cells,0.35,
114949,Cell volume,Volume,cell,Budding yeast Saccharomyces cerevisiae,7.3,,,µm^3,7.3e-18,,,Cells,7.3,'±3
100452,Cell volume,Volume,cell,Budding yeast Saccharomyces cerevisiae,66.0,,,µm^3,6.6e-17,,,Cells,66,
110530,Cell volume,Volume,cell,Chlamydomonas reinhardtii,271.6,,,µm^3,2.7160000000000006e-16,,,Cells,271.6,'Table link - http://bionumbers.hms.harvard.edu/files/Absolute%20and%20relative%20volume%20of%20several%20specimen%20organelles.pdf
114965,Cell volume,Volume,cell,Ciliate Tetrahymena pyriformis,17067.0,,,µm^3,1.7067e-14,,,Cells,17067,
104843,Cell volume,Volume,cell,Cyanobacteria Synechococcus WH7803,1.8,,,µm^3,1.8e-18,,,Cells,1.8,
114963,Cell volume,Volume,cell,Tetrahymena pyriformis (GL),15230.0,,,µm^3,1.5230000000000002e-14,,,Cells,15230,"'±1,890"
114964,Cell volume,Volume,cell,Tetrahymena pyriformis (GL),19500.0,,,µm^3,1.9500000000000002e-14,,,Cells,19500,"'±2,865"
114941,Cell volume,Volume,cell,Yeast Exophiala dermatitidis,36.0,,,µm^3,3.6000000000000006e-17,,,Cells,36,'±12.6
